sku,price,special_price,special_from_date,special_to_date
IMUTS01179DGS,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179DGM,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179DGL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179DG,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179BKXXL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179BKXL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179BKS,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179BKM,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179BKL,24.99,17.99,2020-01-07,2020-02-28
IMUTS01179BK,24.99,17.99,2020-01-07,2020-02-28
IWAHD01244NBONE,17.99,15.99,2020-01-07,2020-02-28
IWAHD01244NB,17.99,15.99,2020-01-07,2020-02-28
IMPPA00354DG/BKXXL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354DG/BKXS,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354DG/BKXL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354DG/BKS,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354DG/BKL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354DG/BK4XL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354DG/BK3XL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354DG/BK,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BV/DGXXL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BV/DGXS,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BV/DGXL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BV/DGS,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BV/DGM,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BV/DGL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BV/DG4XL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BV/DG3XL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BV/DG,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BK/DGXXL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BK/DGXS,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BK/DGXL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BK/DGS,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BK/DGM,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BK/DGL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BK/DG4XL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BK/DG3XL,69.99,39.99,2020-01-07,2020-02-28
IMPPA00354BK/DG,69.99,39.99,2020-01-07,2020-02-28
IMDDW00765DG/YWXXL,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765DG/YWXL,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765DG/YWS,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765DG/YWM,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765DG/YWL,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765DG/YW,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BV/DGXXL,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BV/DGXL,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BV/DGS,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BV/DGM,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BV/DGL,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BV/DG,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BK/RDXXL,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BK/RDXL,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BK/RDS,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BK/RDM,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BK/RDL,111.99,78.99,2020-01-07,2020-02-28
IMDDW00765BK/RD,111.99,78.99,2020-01-07,2020-02-28
IMDDW00306DG/GRXXL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306DG/GRXS,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306DG/GRXL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306DG/GRS,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306DG/GRM,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306DG/GRL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306DG/GR4XL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306DG/GR3XL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306DG/GR,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BM/ORXXL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BM/ORXS,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BM/ORXL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BM/ORS,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BM/ORM,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BM/ORL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BM/OR4XL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BM/OR3XL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BM/OR,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BK/RDXXL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BK/RDXS,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BK/RDXL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BK/RDS,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BK/RDM,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BK/RDL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BK/RD4XL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BK/RD3XL,89.99,53.99,2020-01-07,2020-02-28
IMDDW00306BK/RD,89.99,53.99,2020-01-07,2020-02-28
IKYPD01113RY/LG8,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113RY/LG6,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113RY/LG14,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113RY/LG12,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113RY/LG10,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113RY/LG,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113GR/DG8,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113GR/DG6,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113GR/DG14,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113GR/DG12,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113GR/DG10,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113GR/DG,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113BM/OR8,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113BM/OR6,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113BM/OR14,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113BM/OR12,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113BM/OR10,49.99,44.99,2020-01-07,2020-02-28
IKYPD01113BM/OR,49.99,44.99,2020-01-07,2020-02-28
IWTTH00598WHXXL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598WHXS,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598WHXL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598WHS,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598WHM,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598WHL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598WH4XL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598WH3XL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598WH,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598FXXXL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598FXXS,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598FXXL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598FXS,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598FXM,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598FXL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598FX4XL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598FX3XL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598FX,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598BKXXL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598BKXS,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598BKXL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598BKS,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598BKM,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598BKL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598BK4XL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598BK3XL,9.99,7.99,2020-01-07,2020-02-28
IWTTH00598BK,9.99,7.99,2020-01-07,2020-02-28
IKTTH00277FX8,7.95,7.99,2020-01-07,2020-02-28
IKTTH00277FX6,7.95,7.99,2020-01-07,2020-02-28
IKTTH00277FX14,7.95,7.99,2020-01-07,2020-02-28
IKTTH00277FX12,7.95,7.99,2020-01-07,2020-02-28
IKTTH00277FX10,7.95,7.99,2020-01-07,2020-02-28
IKTTH00277FX,7.95,7.99,2020-01-07,2020-02-28
IWYPD00788TQXXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788TQXS,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788TQXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788TQS,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788TQM,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788TQL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788TQ,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788SM/FXXXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788SM/FXXS,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788SM/FXXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788SM/FXS,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788SM/FXM,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788SM/FXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788SM/FX,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BM/CFXXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BM/CFXS,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BM/CFXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BM/CFS,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BM/CFM,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BM/CFL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BM/CF,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/FXXXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/FXXS,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/FXXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/FXS,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/FXM,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/FXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/FX,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/BKXXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/BKXS,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/BKXL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/BKS,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/BKM,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/BKL,65.99,65.99,2020-01-07,2020-02-28
IWYPD00788BK/BK,65.99,65.99,2020-01-07,2020-02-28
IKYPD00789BK/FX8,39.99,39.99,2020-01-07,2020-02-28
IKYPD00789BK/FX6,39.99,39.99,2020-01-07,2020-02-28
IKYPD00789BK/FX14,39.99,39.99,2020-01-07,2020-02-28
IKYPD00789BK/FX12,39.99,39.99,2020-01-07,2020-02-28
IKYPD00789BK/FX10,39.99,39.99,2020-01-07,2020-02-28
IKYPD00789BK/FX,39.99,39.99,2020-01-07,2020-02-28
IWPPA01391SM/SMXXL,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391SM/SMXS,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391SM/SMXL,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391SM/SMS,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391SM/SMM,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391SM/SML,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391SM/SM,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391BK/BKXXL,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391BK/BKXS,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391BK/BKXL,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391BK/BKS,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391BK/BKM,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391BK/BKL,67.99,54.99,2020-01-07,2020-02-28
IWPPA01391BK/BK,67.99,54.99,2020-01-07,2020-02-28
