"0x003D","0x00D1","Lockheed Martin Corp","mx98715/25","i740 PCI"
"0x0E11","0xF095","Compaq Computer Corp.","FCA2101","HP StorageWorks 2 Gb, 64-Bit/66-MHz PCI-to-Fibre Channel Host Bus Adapter for Windows 2000, Windows"
"0x0E11","0xF130","Compaq Computer Corp.","","ThunderLAN 1.0 NetFlex-3/P"
"0x0E11","0xF150","Compaq Computer Corp.","","ThunderLAN 2.3 NetFlex-3/P with BNC"
"0x0E11","0xF700","Compaq Computer Corp.","","LP7000 Compaq/Emulex Fibre Channel HBA"
"0x0E11","0xF800","Compaq Computer Corp.","","LP8000 Compaq/Emulex Fibre Channel HBA"
"0x1000","0x0001","LSI Logic 53C810 Device","LSI53C810/810A/810AE","PCI-SCSI I/O Processor"
"0x1000","0x0002","LSI Logic 53C810 Device","53C820","Fast-wide SCSI"
"0x1000","0x0003","LSI Logic 53C810 Device","LSI53C825/825A/825AE","PCI to SCSI I/O Processor"
"0x1000","0x0004","LSI Logic 53C810 Device","53C815","Fast SCSI"
"0x1000","0x0005","LSI Logic 53C810 Device","53C810AP","Fast SCSI"
"0x1000","0x0006","LSI Logic 53C810 Device","LSI53C860/860E","PCI to Ultra SCSI I/O Processor"
"0x1000","0x000A","LSI Logic 53C810 Device","LSI53C1510","PCI Dual Channel Wide Ultra2 SCSI Ctrlr"
"0x1000","0x000B","LSI Logic 53C810 Device","LSI53C896/897","PCI Dual Channel Wide Ultra2 SCSI Ctrlr"
"0x1000","0x000C","LSI Logic 53C810 Device","LSI53C895","PCI to Ultra2 SCSI I/O Processor"
"0x1000","0x000D","LSI Logic 53C810 Device","53C885","Ultra Wide SCSI, Ethernet"
"0x1000","0x000F","LSI Logic 53C810 Device","53C875/875E/876/876E","PCI to Ultra SCSI I/O Processor"
"0x1000","0x0010","LSI Logic 53C810 Device","LSI53C1510","I2O-Ready PCI RAID Ultra2 SCSI Ctrlr"
"0x1000","0x0012","LSI Logic 53C810 Device","LSI53C895A","PCI to Ultra2 SCSI Controller"
"0x1000","0x0013","LSI Logic 53C810 Device","LSI53C875A","PCI to Ultra SCSI Controller"
"0x1000","0x0020","LSI Logic 53C810 Device","LSI53C1010-33","PCI to Dual Channel Ultra3 SCSI Ctrlr"
"0x1000","0x0021","LSI Logic 53C810 Device","LSI53C1000/1000R/1010R/1010-66","PCI to Ultra160 SCSI Controller"
"0x1000","0x0030","LSI Logic 53C810 Device","LSI53C1020/1030","PCI-X to Ultra320 SCSI Controller"
"0x1000","0x0031","LSI Logic 53C810 Device","LSI53C1030ZC","PCI-X SCSI Controller"
"0x1000","0x0032","LSI Logic 53C810 Device","LSI53C1035","PCI-X to Ultra320 SCSI Controller"
"0x1000","0x0035","LSI Logic 53C810 Device","LSI53C1035","PCI-X SCSI Controller"
"0x1000","0x0040","LSI Logic 53C810 Device","LSI53C1035","PCI-X to Ultra320 SCSI Controller"
"0x1000","0x008F","LSI Logic 53C810 Device","53C810","LSI 53C8xx SCSI host adapter chip"
"0x1000","0x0621","LSI Logic 53C810 Device","LSIFC909","Fibre Channel I/O Processor"
"0x1000","0x0622","LSI Logic 53C810 Device","LSIFC929","Dial Channel Fibre Channel I/O Processor"
"0x1000","0x0623","LSI Logic 53C810 Device","LSIFC929","Dual Channel Fibre Channel I/O Processor"
"0x1000","0x0624","LSI Logic 53C810 Device","LSIFC919","Fibre Channel I/O Processor"
"0x1000","0x0625","LSI Logic 53C810 Device","LSIFC919","Fibre Channel I/O Processor"
"0x1000","0x0630","LSI Logic 53C810 Device","LSIFC920","Fibre Channel I/O Processor"
"0x1000","0x0701","LSI Logic 53C810 Device","53C885","10/100 MBit Ethernet"
"0x1000","0x0702","LSI Logic 53C810 Device","Yellowfin G-NIC","Gigabit Ethernet Controller"
"0x1000","0x0901","LSI Logic 53C810 Device","61C102","USB Controller"
"0x1000","0x1000","LSI Logic 53C810 Device","63C815","Fast SCSI Controller"
"0x1000","0x1001","LSI Logic 53C810 Device","53C895","Symbios Ultra2 SCSI controller"
"0x1000","0x1010","LSI Logic 53C810 Device","LSI 53C1020","Single channel SCSI controller"
"0x1001","0x0010","Kolter Electronic - Germany","ispLSI1032E","PCI 1616, 16 TTL-IN, 16 TTL-OUT"
"0x1001","0x0011","Kolter Electronic - Germany","ispLSI1032E","OPTO-PCI, 16 IN / 16 OUT 24 VDC"
"0x1001","0x0012","Kolter Electronic - Germany","ispLSI1032E","PCI-AD, PCI-ADDA analog I/O-card"
"0x1001","0x0013","Kolter Electronic - Germany","ispLSI1032E","PCI-OptoRel, PCI-Relais 16 Relais & Opto"
"0x1001","0x0014","Kolter Electronic - Germany","ispLSI1032E","Timer, Pulse & Counter-card 16..32 bit"
"0x1001","0x0015","Kolter Electronic - Germany","ispLSI1032E","PCI-DAC416, 4 channel D/A16bit precision"
"0x1001","0x0016","Kolter Electronic - Germany","ispLSI1032E","PCI-MFB high-speed analog I/O"
"0x1001","0x0017","Kolter Electronic - Germany","ispLSI1032E","PROTO-3 PCI, digital I/O with chipselect"
"0x1001","0x0020","Kolter Electronic - Germany","ispLSI1032E","Universal digital I/O PCI-Interface"
"0x1002","0x00000100 (256)","ATI Technologies Inc.","{4d36e968-e325-11ce-bfc1-08002be10318}","{4d36e968-e325-11ce-bfc1-08002be10318}"
"0x1002","0x0B12","ATI Technologies Inc.","ati 1900","ati 1900"
"0x1002","0x3150","ATI Technologies Inc.","M24 1P","Radeon Mobility X600"
"0x1002","0x3154","ATI Technologies Inc.","M24 1T","FireGL"
"0x1002","0x3E50","ATI Technologies Inc.","RV380","Radeon X600"
"0x1002","0x3E54","ATI Technologies Inc.","RV380","FireGL V3200"
"0x1002","0x4136","ATI Technologies Inc.","A3","Radeon IGP 320"
"0x1002","0x4137","ATI Technologies Inc.","RS200","Radeon IGP 340"
"0x1002","0x4144","ATI Technologies Inc.","R300","Radeon 9500 Series"
"0x1002","0x4145","ATI Technologies Inc.","R300","Radeon 9200 (M+X)"
"0x1002","0x4146","ATI Technologies Inc.","R300","Radeon 9700"
"0x1002","0x4147","ATI Technologies Inc.","","ATI Fire GL Z1  Video Accelerator"
"0x1002","0x4148","ATI Technologies Inc.","R350","Radeon 9800 SE"
"0x1002","0x4150","ATI Technologies Inc.","rv350","Radeon 9600 pro"
"0x1002","0x4151","ATI Technologies Inc.","RV350","Radeon 9600"
"0x1002","0x4152","ATI Technologies Inc.","RV360","Radeon 9600 XT"
"0x1002","0x4153","ATI Technologies Inc.","RV350","Radeon 9550"
"0x1002","0x4158","ATI Technologies Inc.","200E17af","Mach 32"
"0x1002","0x4164","ATI Technologies Inc.","ATI Rage PRO AGP 2X (GT-C2U2)","Fire GL Z1/Z1 Pro Video Accelerator"
"0x1002","0x4167","ATI Technologies Inc.","","ATI Fire GL Z1 4P SECONDARY Video"
"0x1002","0x4168","ATI Technologies Inc.","R350","Radeon 9800 SE - Secondary"
"0x1002","0x4170","ATI Technologies Inc.","RV350","Radeon 9600 - Secondary"
"0x1002","0x4171","ATI Technologies Inc.","RV350","Radeon 9600 Secondary"
"0x1002","0x4172","ATI Technologies Inc.","RV360","Radeon 9600 XT - Secondary"
"0x1002","0x4173","ATI Technologies Inc.","RV350","Radeon 9550 - Secondary"
"0x1002","0x4242","ATI Technologies Inc.","R200AIW","All-In-Wonder 8500DV"
"0x1002","0x4243","ATI Technologies Inc.","","Lucent OHCI IEEE1394 Host Controller"
"0x1002","0x4336","ATI Technologies Inc.","rs200","Radeon IGP 320M"
"0x1002","0x4337","ATI Technologies Inc.","RS200M","Mobility M6 (U2)"
"0x1002","0x4341","ATI Technologies Inc.","AD1981","AC'97 Audio Controller"
"0x1002","0x4342","ATI Technologies Inc.","IXP 150","HUB Bridge"
"0x1002","0x4345","ATI Technologies Inc.","IXP 150","EHCI USB Controller"
"0x1002","0x4347","ATI Technologies Inc.","IXP 150","OHCI USB Controller #1"
"0x1002","0x4348","ATI Technologies Inc.","IXP 150","OHCI USB Controller #2"
"0x1002","0x4349","ATI Technologies Inc.","IXP 150","ATA Controller"
"0x1002","0x434C","ATI Technologies Inc.","IXP 150","LPC Controller"
"0x1002","0x434d","ATI Technologies Inc.","a75-s226","Agere Systems AC'97 Modem device"
"0x1002","0x4353","ATI Technologies Inc.","IXP 150","SMBus Controller"
"0x1002","0x4354","ATI Technologies Inc.","215r2qzua21","bcg 62"
"0x1002","0x4358","ATI Technologies Inc.","210888CX","Mach64 CX"
"0x1002","0x4370","ATI Technologies Inc.","IXP_AUDIO_400","IXP AC'97 Audio Controller"
"0x1002","0x4376","ATI Technologies Inc.","?","Radeo SB400 = RS480 Southbridge/IDE Controller"
"0x1002","0x4378","ATI Technologies Inc.","AC97","AC97 Modem"
"0x1002","0x4554","ATI Technologies Inc.","Mach64 ET",""
"0x1002","0x4654","ATI Technologies Inc.","Mach64 VT","113--40008-105"
"0x1002","0x4742","ATI Technologies Inc.","SUBSYS_00801002&REV_5C","ATI 3D Rage Pro (atir3)"
"0x1002","0x4744","ATI Technologies Inc.","Rage 3D Pro AGP 2x","Rage 3D Pro AGP 2x"
"0x1002","0x4747","ATI Technologies Inc.","Rage 3D Pro","GT-C2U2"
"0x1002","0x4749","ATI Technologies Inc.","Rage Pro Turbo PCI","ATI ALL IN WONDER PRO (8MB)"
"0x1002","0x474C","ATI Technologies Inc.","Rage XC PCI-66","k7 som+"
"0x1002","0x474D","ATI Technologies Inc.","Rage XL AGP 2x","SLAT"
"0x1002","0x474E","ATI Technologies Inc.","Rage XC AGP 2x",""
"0x1002","0x474F","ATI Technologies Inc.","Rage XL PCI-66","I Need Driver for the Chip"
"0x1002","0x4750","ATI Technologies Inc.","ATI,mach64-3DUPro","xclaim"
"0x1002","0x4751","ATI Technologies Inc.","Rage 3D Pro PCI","ATI (GT-C2U2)"
"0x1002","0x4752","ATI Technologies Inc.","Rage XL PCI",""
"0x1002","0x4753","ATI Technologies Inc.","Rage XC PCI",""
"0x1002","0x4754","ATI Technologies Inc.","Mach 64 GT","Rage 3D II Graphics Accelerator"
"0x1002","0x4755","ATI Technologies Inc.","Rage 3D II+pci","3d rage 2 + dvd"
"0x1002","0x4756","ATI Technologies Inc.","Rage 3D IIC pci","Graphics Accelerator"
"0x1002","0x4757","ATI Technologies Inc.","3D 11C AGP","Rage 3D IIC AGP"
"0x1002","0x4758","ATI Technologies Inc.","210888GX","Mach 64 GT"
"0x1002","0x4759","ATI Technologies Inc.","215r2qzua21","Rage 3D IICATI 3D RAGE 11C AGP(A12/A13)"
"0x1002","0x475A","ATI Technologies Inc.","215r2qua21","Rage IIC AGP"
"0x1002","0x4966","ATI Technologies Inc.","RV250","Radeon 9000/9000 Pro"
"0x1002","0x4967","ATI Technologies Inc.","RV250","Radeon 9000"
"0x1002","0x496E","ATI Technologies Inc.","RV250","Radeon 9000/9000 Pro - Secondary"
"0x1002","0x496F","ATI Technologies Inc.","RV250","Radeon 9000 - Secondary"
"0x1002","0x4a4b","ATI Technologies Inc.","00","100"
"0x1002","0x4C42","ATI Technologies Inc.","B10E0E11","Rage 3D LT Pro AGP 133 MHz"
"0x1002","0x4C44","ATI Technologies Inc.","Rage 3D LT Pro AGP","Rage 3D LT Pro AGP 133 MHz"
"0x1002","0x4C45","ATI Technologies Inc.","","Rage Mobility M3 AGP"
"0x1002","0x4C46","ATI Technologies Inc.","Mobility M3 AGP","0x4c46"
"0x1002","0x4C47","ATI Technologies Inc.","ati rage pro","Rage 3D LT-G"
"0x1002","0x4C49","ATI Technologies Inc.","123","Rage 3D LT Pro"
"0x1002","0x4C4D","ATI Technologies Inc.","01541014","Rage P/M Mobility AGP 2x"
"0x1002","0x4C4E","ATI Technologies Inc.","216lo sasa25","Rage Mobility l"
"0x1002","0x4C50","ATI Technologies Inc.","VEN_1002&DEV_4C50&SUBSYS_4C501002&REV_DC","Rage 3D LT Pro PCI"
"0x1002","0x4C51","ATI Technologies Inc.","113","Rage 3D LT Pro PCI"
"0x1002","0x4C52","ATI Technologies Inc.","1241243","Rage P/M Mobility agp"
"0x1002","0x4C53","ATI Technologies Inc.","216L0SASA25","Rage L Mobility PCI"
"0x1002","0x4C54","ATI Technologies Inc.","","Mach 64 LT"
"0x1002","0x4C57","ATI Technologies Inc.","fdds","Radeon Mobility M7 LW"
"0x1002","0x4C58","ATI Technologies Inc.","","FireGL Mobility"
"0x1002","0x4C59","ATI Technologies Inc.","Mobility 6","Radeon Mobility M6 LY"
"0x1002","0x4C5A","ATI Technologies Inc.","","Radeon Mobility M6 LZ"
"0x1002","0x4C64","ATI Technologies Inc.","","Radeon Mobility M9-GL"
"0x1002","0x4C66","ATI Technologies Inc.","","Radeon Mobility M9"
"0x1002","0x4D46","ATI Technologies Inc.","","Rage Mobility 128 AGP 4x"
"0x1002","0x4D4C","ATI Technologies Inc.","","Rage Mobility 128 AGP"
"0x1002","0x4E44","ATI Technologies Inc.","R300","Radeon 9700/9500 Series"
"0x1002","0x4E45","ATI Technologies Inc.","R300","Radeon 9500 Pro"
"0x1002","0x4e46","ATI Technologies Inc.","R300","Radeon 9600TX"
"0x1002","0x4E47","ATI Technologies Inc.","","ATI Fire GL X1/Z1 Video Accelerator"
"0x1002","0x4E48","ATI Technologies Inc.","R360","Radeon 9800 Pro"
"0x1002","0x4E49","ATI Technologies Inc.","R350","Radeon 9800"
"0x1002","0x4E4A","ATI Technologies Inc.","R360","Radeon 9800 XT"
"0x1002","0x4E4B","ATI Technologies Inc.","FGL9800XT","ATI FIREGL X2-256T"
"0x1002","0x4E50","ATI Technologies Inc.","RV360M10","Radeon Mobility 9600 Pro"
"0x1002","0x4E54","ATI Technologies Inc.","RV350-WS","Radeon Mobility M10 NT"
"0x1002","0x4E64","ATI Technologies Inc.","R300","Radeon 9700 Pro"
"0x1002","0x4E65","ATI Technologies Inc.","R300","Radeon 9700/9500 Series - Secondary"
"0x1002","0x4e66","ATI Technologies Inc.","R300","Radeon 9600TX - Secondary"
"0x1002","0x4E67","ATI Technologies Inc.","","Fire GL X1/Z1 AGP [Pro] Secondary Video"
"0x1002","0x4E68","ATI Technologies Inc.","R350","Radeon 9800 Pro - Secondary"
"0x1002","0x4E69","ATI Technologies Inc.","R350","Radeon 9800 - Secondary"
"0x1002","0x4E6A","ATI Technologies Inc.","R350","Radeon 9800 XT - Secondary"
"0x1002","0x4E6B","ATI Technologies Inc.","FGL9800XT","ATI FIREGL X2-256T Secondary"
"0x1002","0x5041","ATI Technologies Inc.","","Rage 128 Pro PA PCI"
"0x1002","0x5042","ATI Technologies Inc.","","Rage 128 Pro PB AGP 2x"
"0x1002","0x5043","ATI Technologies Inc.","1231324445","Rage 128 Pro PC AGP 4x"
"0x1002","0x5044","ATI Technologies Inc.","rv100","Rage 128 Pro PD PCI"
"0x1002","0x5045","ATI Technologies Inc.","","Rage 128 Pro PE AGP 2x"
"0x1002","0x5046","ATI Technologies Inc.","5046","Rage 128 Pro PF AGP 4x"
"0x1002","0x5047","ATI Technologies Inc.","215R3BUA22"," 3d Rage pro agp 2x"
"0x1002","0x5048","ATI Technologies Inc.","Rage 128 Pro PH AGP","Rage 128 Pro PH AGP 2x"
"0x1002","0x5049","ATI Technologies Inc.","Rage 128 Pro PI AGP","Rage 128 Pro PI AGP 4x"
"0x1002","0x504A","ATI Technologies Inc.","Rage 128 Pro PJ PCI","Rage 128 Pro PJ PCI (TMDS)"
"0x1002","0x504B","ATI Technologies Inc.","Rage 128 Pro PK AGP","Rage 128 Pro PK AGP 2x (TMDS)"
"0x1002","0x504C","ATI Technologies Inc.","Rage 128 Pro PL AGP","4x (TMDS)"
"0x1002","0x504D","ATI Technologies Inc.","Rage 128 Pro PM PCI","Rage 128 Pro PM PCI"
"0x1002","0x504E","ATI Technologies Inc.","Rage 128 Pro PN AGP","Rage 128 Pro PN AGP 2x"
"0x1002","0x504F","ATI Technologies Inc.","Rage 128 Pro PO AGP","Rage 128 Pro PO AGP 4x"
"0x1002","0x5050","ATI Technologies Inc.","Rage 128 Pro PP PCI","Rage 128 Pro PP PCI (TMDS)"
"0x1002","0x5051","ATI Technologies Inc.","Rage 128 Pro PQ AGP","Rage 128 Pro PQ AGP 2x (TMDS)"
"0x1002","0x5052","ATI Technologies Inc.","Rage 128 Pro PR AGP","Rage 128 Pro PR AGP 4x (TMDS)"
"0x1002","0x5053","ATI Technologies Inc.","Rage 128 Pro PS PCI","Rage 128 Pro PS PCI"
"0x1002","0x5054","ATI Technologies Inc.","Rage 128 Pro PT AGP","Rage 128 Pro PT AGP 2x"
"0x1002","0x5055","ATI Technologies Inc.","rage 128 pro agp 4x tmds","rage 128 pro agp 4x tmds"
"0x1002","0x5056","ATI Technologies Inc.","Rage 128 Pro PV PCI","Rage 128 Pro PV PCI (TMDS)"
"0x1002","0x5057","ATI Technologies Inc.","Rage 128 Pro PW AGP","Rage 128 Pro PW AGP 2x (TMDS)"
"0x1002","0x5058","ATI Technologies Inc.","Rage 128 Pro","PX AGP 4x (TMDS)"
"0x1002","0x5144","ATI Technologies Inc.","Radeon 7200 QD SDR/DDR","Radeon 7200 QD SDR/DDR"
"0x1002","0x5145","ATI Technologies Inc.","","Radeon QE"
"0x1002","0x5146","ATI Technologies Inc.","","Radeon QF"
"0x1002","0x5147","ATI Technologies Inc.","","Radeon QG"
"0x1002","0x5148","ATI Technologies Inc.","R200","Radeon R200 QH"
"0x1002","0x5149","ATI Technologies Inc.","","Radeon R200 QI"
"0x1002","0x514A","ATI Technologies Inc.","","Radeon R200 QJ"
"0x1002","0x514B","ATI Technologies Inc.","","Radeon R200 QK"
"0x1002","0x514C","ATI Technologies Inc.","R200","Radeon 8500 / 8500LE"
"0x1002","0x514D","ATI Technologies Inc.","R200","Redeon 9100 Series"
"0x1002","0x514E","ATI Technologies Inc.","","Radeon R200 QM"
"0x1002","0x514F","ATI Technologies Inc.","","Radeon R200 QN"
"0x1002","0x5157","ATI Technologies Inc.","RV200","Radeon 7500"
"0x1002","0x5158","ATI Technologies Inc.","","Radeon 7500 QX"
"0x1002","0x5159","ATI Technologies Inc.","RV100","Radeon 7000 / Radeon VE"
"0x1002","0x515A","ATI Technologies Inc.","","Radeon VE QZ"
"0x1002","0x515E","ATI Technologies Inc.","Radeon ES1000","Radeon ES1000"
"0x1002","0x5168","ATI Technologies Inc.","","Radeon R200 Qh"
"0x1002","0x5169","ATI Technologies Inc.","","Radeon R200 Qi"
"0x1002","0x516A","ATI Technologies Inc.","","Radeon R200 Qj"
"0x1002","0x516B","ATI Technologies Inc.","","Radeon R200 Qk"
"0x1002","0x516C","ATI Technologies Inc.","","Radeon 8500 / 8500LE"
"0x1002","0x516D","ATI Technologies Inc.","R200","Redeon 9100 Series - Secondary"
"0x1002","0x5245","ATI Technologies Inc.","215R46ASA22","Rage 128 GL PCI"
"0x1002","0x5246","ATI Technologies Inc.","Rage 128 PRO","Rage 32MB"
"0x1002","0x5247","ATI Technologies Inc.","","Rage 128 RG"
"0x1002","0x524B","ATI Technologies Inc.","g01080-108","Rage 128 VR RK PCI"
"0x1002","0x524C","ATI Technologies Inc.","","Rage 128 VR RL AGP 2x"
"0x1002","0x5345","ATI Technologies Inc.","","Rage 128 4x SE PCI"
"0x1002","0x5346","ATI Technologies Inc.","Rage 128 SF 4x AGP 2x","Rage 128 SF 4x AGP 2x"
"0x1002","0x5347","ATI Technologies Inc.","","Rage 128 SG 4x AGP 4x"
"0x1002","0x5348","ATI Technologies Inc.","","Rage 128 4x SH"
"0x1002","0x534B","ATI Technologies Inc.","Rage 128 SK PCI","Rage 128 4x SK PCI"
"0x1002","0x534C","ATI Technologies Inc.","Rage 128 SL AGP 2x","Rage 128 4x SL AGP 2x"
"0x1002","0x534D","ATI Technologies Inc.","Rage 128 SM AGP 4x","Rage 128 4x SM AGP 4x"
"0x1002","0x534E","ATI Technologies Inc.","Rage 128 4x",""
"0x1002","0x5354","ATI Technologies Inc.","","Mach 64 ST"
"0x1002","0x5446","ATI Technologies Inc.","Rage 128 PRO ULTRA","Video Controller (VGA Compatible)"
"0x1002","0x544C","ATI Technologies Inc.","","Rage 128 Pro TL"
"0x1002","0x5452","ATI Technologies Inc.","","Rage 128 Pro TR"
"0x1002","0x5455","ATI Technologies Inc.","","Rage 128 Pro Ultra TU"
"0x1002","0x5460","ATI Technologies Inc.","unknown","Radeon X300 Mobility (M22)"
"0x1002","0x554D","ATI Technologies Inc.","R430","Radeon X800 XL"
"0x1002","0x5551","ATI Technologies Inc.","R423GL-SE","ATI FIREGL V5100 PCI-EX Primary"
"0x1002","0x556D","ATI Technologies Inc.","R430","Radeon X800 XL - Secondary"
"0x1002","0x5571","ATI Technologies Inc.","R423GL-SE","ATI FIREGL V5100 PCI-EX Secondary"
"0x1002","0x5653","ATI Technologies Inc.","R410","Mobility X700"
"0x1002","0x5654","ATI Technologies Inc.","215VT2CA42","Mach 64 VT VIDEO XPRESSION"
"0x1002","0x5655","ATI Technologies Inc.","","Mach 64 VT3"
"0x1002","0x5656","ATI Technologies Inc.","Mach 64 VT4 PCI","Mach 64 VT4 PCI"
"0x1002","0x5830","ATI Technologies Inc.","RS300","Host Bridge"
"0x1002","0x5831","ATI Technologies Inc.","RS300","Host Bridge"
"0x1002","0x5832","ATI Technologies Inc.","RS300","Host Bridge"
"0x1002","0x5833","ATI Technologies Inc.","Radeon 9100 IGP","Host Bridge"
"0x1002","0x5834","ATI Technologies Inc.","RS300","Radeon 9100 IGP"
"0x1002","0x5835","ATI Technologies Inc.","RS300","Mobiltiy Radeon 9100 IGP AGP"
"0x1002","0x5838","ATI Technologies Inc.","Radeon 9100 IGP","AGP Bridge"
"0x1002","0x5940","ATI Technologies Inc.","RV280","Radeon 9200 Pro - Secondary"
"0x1002","0x5941","ATI Technologies Inc.","RV280","ATI Radeon 9200 - Secondary"
"0x1002","0x5954","ATI Technologies Inc.","na","ATI Radeon Xpress 200 Series - RS480"
"0x1002","0x5955","ATI Technologies Inc.","???","Mobility Radeon XPRESS 200"
"0x1002","0x5960","ATI Technologies Inc.","RV280","Radeon 9200 Pro"
"0x1002","0x5961","ATI Technologies Inc.","RV280","ATI RADEON 9200 se agp"
