sku;attribute_code;value;store_id
IMUTS01181RY;color;Bleu;4
IMUTS01181OR;color;Naranja;3
IMUTS01181OR;color;Orange;0
IMUTS01181OR;color;Orange;4
IMUTS01181BK;color;Negro;3
IMUTS01181BK;color;Black;0
IMUTS01181BK;color;Noir;4
IUAHD00479BG;color;Beige;3
IUAHD00479BG;color;Beige;0
IUAHD00479BG;color;Beige;4
IMDDW00306BM/OR;color;Azul;3
IMDDW00306BM/OR;color;Blue;0
IMDDW00306BM/OR;color;Bleu;4
IMDDW00306BK/RD;color;Negro;3
IMDDW00306BK/RD;color;Black;0
IMDDW00306BK/RD;color;Noir;4
IWFFO00822BK/SV;color;Negro;3
IWFFO00822BK/SV;color;Black;0
IWFFO00822BK/SV;color;Noir;4
IWFFO00822BG/LL;color;Beige;3
IWFFO00822BG/LL;color;Beige;0
IWFFO00822BG/LL;color;Beige;4
IUASO01246WH;color;Blanco;3
IUASO01246WH;color;White;0
IUASO01246WH;color;Blanc;4
IUASO01246BK;color;Negro;3
IUASO01246BK;color;Black;0
IUASO01246BK;color;Noir;4
IMRTS01396RD;color;Rojo;3
IMRTS01396RD;color;Red;0
IMRTS01396RD;color;Rouge;4
IMRTS01396DG;color;Gris;3
IMRTS01396DG;color;Grey;0
IMRTS01396DG;color;Gris;4
IMRTS01396BK;color;Negro;3
IMRTS01396BK;color;Black;0
IMRTS01396BK;color;Noir;4
IWUTS01371GR;color;Gris;3
IWUTS01371GR;color;Grey;0
IWUTS01371GR;color;Gris;4
IWUTS01371CB;color;Azul;3
IWUTS01371CB;color;Blue;0
IWUTS01371CB;color;Bleu;4
IWUTS01183CF/BM;color;Naranja;3
IWUTS01183CF/BM;color;Orange;0
IWUTS01183CF/BM;color;Orange;4
IUASO00493WH/BL;color;Blanco;3
IUASO00493WH/BL;color;White;0
IUASO00493WH/BL;color;Blanc;4
IUASO00493BK/LG;color;Negro;3
IUASO00493BK/LG;color;Black;0
IUASO00493BK/LG;color;Noir;4
IMFFO00973BK;color;Negro;3
IMFFO00973BK;color;Black;0
IMFFO00973BK;color;Noir;4
IUASO00494WH;color;Blanco;3
IUASO00494WH;color;White;0
IUASO00494WH;color;Blanc;4
IUASO00494BK;color;Negro;3
IUASO00494BK;color;Black;0
IUASO00494BK;color;Noir;4
IMRSH01021DG;color;Gris;3
IMRSH01021DG;color;Grey;0
IMRSH01021DG;color;Gris;4
IMRSH01021BK;color;Negro;3
IMRSH01021BK;color;Black;0
IMRSH01021BK;color;Noir;4
IWJPU00759BK/PF;color;Negro;3
IWJPU00759BK/PF;color;Black;0
IWJPU00759BK/PF;color;Noir;4
IMUPO01369BM;color;Azul;3
IMUPO01369BM;color;Blue;0
IMUPO01369BM;color;Bleu;4
IMUPO01368CH;color;Azul;3
IMUPO01368CH;color;Blue;0
IMUPO01368CH;color;Bleu;4
IMUPO01368CB;color;Azul;3
IMUPO01368CB;color;Blue;0
IMUPO01368CB;color;Bleu;4
IMPPA01072MR/SM;color;Rojo;3
IMPPA01072MR/SM;color;Red;0
IMPPA01072MR/SM;color;Rouge;4
IMSTS01030YW;color;Amarillo;3
IMSTS01030YW;color;Yellow;0
IMSTS01030YW;color;Jaune;4
IMSTS01030WH;color;Blanco;3
IMSTS01030WH;color;White;0
IMSTS01030WH;color;Blanc;4
IMSTS01030RY;color;Azul;3
IMSTS01030RY;color;Blue;0
IMSTS01030RY;color;Bleu;4
IMSTS01030RD;color;Rojo;3
IMSTS01030RD;color;Red;0
IMSTS01030RD;color;Rouge;4
IMSTS01030LG;color;Verde;3
IMSTS01030LG;color;Green;0
IMSTS01030LG;color;Vert;4
IMSTS01030BK;color;Negro;3
IMSTS01030BK;color;Black;0
IMSTS01030BK;color;Noir;4
IKSTS01393RY;color;Azul;3
IKSTS01393RY;color;Blue;0
IKSTS01393RY;color;Bleu;4
IKSTS01393LG;color;Verde;3
IKSTS01393LG;color;Green;0
IKSTS01393LG;color;Vert;4
IUAHD01193GR;color;Gris;3
IUAHD01193GR;color;Grey;0
IUAHD01193GR;color;Gris;4
IUAHD01193BG;color;Beige;3
IUAHD01193BG;color;Beige;0
IUAHD01193BG;color;Beige;4
IUAHD01191GR;color;Gris;3
IUAHD01191GR;color;Grey;0
IUAHD01191GR;color;Gris;4
IUAHD01191BG;color;Beige;3
IUAHD01191BG;color;Beige;0
IUAHD01191BG;color;Beige;4
IMJPU00757RY/LG;color;Azul;3
IMJPU00757RY/LG;color;Blue;0
IMJPU00757RY/LG;color;Bleu;4
IMJPU00757RD/BK;color;Rojo;3
IMJPU00757RD/BK;color;Red;0
IMJPU00757RD/BK;color;Rouge;4
IMJPU00757OF/GN;color;Naranja;3
IMJPU00757OF/GN;color;Orange;0
IMJPU00757OF/GN;color;Orange;4
IMJPU00757LG/RY;color;Verde;3
IMJPU00757LG/RY;color;Green;0
IMJPU00757LG/RY;color;Vert;4
IMJPU00757BK/RY;color;Negro;3
IMJPU00757BK/RY;color;Black;0
IMJPU00757BK/RY;color;Noir;4
IMJPU00757BK/RD;color;Negro;3
IMJPU00757BK/RD;color;Black;0
IMJPU00757BK/RD;color;Noir;4
IMRRN00403RY;color;Azul;3
IMRRN00403RY;color;Blue;0
IMRRN00403RY;color;Bleu;4
IMRRN00403DG;color;Gris;3
IMRRN00403DG;color;Grey;0
IMRRN00403DG;color;Gris;4
IMRRN00403BK;color;Negro;3
IMRRN00403BK;color;Black;0
IMRRN00403BK;color;Noir;4
IMPPA00876BV/DG;color;Azul;3
IMPPA00876BV/DG;color;Blue;0
IMPPA00876BV/DG;color;Bleu;4
IWLPF00558VI;color;Morado;3
IWLPF00558VI;color;Purple;0
IWLPF00558VI;color;Violet;4
IWLPF00558BK;color;Negro;3
IWLPF00558BK;color;Black;0
IWLPF00558BK;color;Noir;4
IMDDW00309DQ/LM;color;Azul;3
IMDDW00309DQ/LM;color;Blue;0
IMDDW00309DQ/LM;color;Bleu;4
IMDDW00309DG/YW;color;Gris;3
IMDDW00309DG/YW;color;Grey;0
IMDDW00309DG/YW;color;Gris;4
IMDDW00309DG/MR;color;Gris;3
IMDDW00309DG/MR;color;Grey;0
IMDDW00309DG/MR;color;Gris;4
IMDDW00309DB/GH;color;Azul;3
IMDDW00309DB/GH;color;Blue;0
IMDDW00309DB/GH;color;Bleu;4
IMDDW00309BM/OR;color;Azul;3
IMDDW00309BM/OR;color;Blue;0
IMDDW00309BM/OR;color;Bleu;4
IMDDW00309BM/BM;color;Azul;3
IMDDW00309BM/BM;color;Blue;0
IMDDW00309BM/BM;color;Bleu;4
IMDDW00309BK/BK;color;Negro;3
IMDDW00309BK/BK;color;Black;0
IMDDW00309BK/BK;color;Noir;4
IUASO00816BK/RD;color;Negro;3
IUASO00816BK/RD;color;Black;0
IUASO00816BK/RD;color;Noir;4
IWRRN00813BK/FX;color;Negro;3
IWRRN00813BK/FX;color;Black;0
IWRRN00813BK/FX;color;Noir;4
IWRRN00813BK/BK;color;Negro;3
IWRRN00813BK/BK;color;Black;0
IWRRN00813BK/BK;color;Noir;4
IUFSD01410SM;color;Gris;3
IUFSD01410SM;color;Grey;0
IUFSD01410SM;color;Gris;4
IUFSD01410RD;color;Rojo;3
IUFSD01410RD;color;Red;0
IUFSD01410RD;color;Rouge;4
IUFSD01410DP;color;Morado;3
IUFSD01410DP;color;Purple;0
IUFSD01410DP;color;Violet;4
IUFSD01410BK;color;Negro;3
IUFSD01410BK;color;Black;0
IUFSD01410BK;color;Noir;4
IUASO01038GR/YF;color;Gris;3
IUASO01038GR/YF;color;Grey;0
IUASO01038GR/YF;color;Gris;4
IUASO01038GR/FX;color;Gris;3
IUASO01038GR/FX;color;Grey;0
IUASO01038GR/FX;color;Gris;4
IUAGL01166BK;color;Negro;3
IUAGL01166BK;color;Black;0
IUAGL01166BK;color;Noir;4
IUAGL01164BK;color;Negro;3
IUAGL01164BK;color;Black;0
IUAGL01164BK;color;Noir;4
IMEPS00780RD/BK;color;Rojo;3
IMEPS00780RD/BK;color;Red;0
IMEPS00780RD/BK;color;Rouge;4
IMFFO00949SM;color;Gris;3
IMFFO00949SM;color;Grey;0
IMFFO00949SM;color;Gris;4
IMFFO00949BM/SV;color;Azul;3
IMFFO00949BM/SV;color;Blue;0
IMFFO00949BM/SV;color;Bleu;4
IMASO00301DG/BK;color;Gris;3
IMASO00301DG/BK;color;Grey;0
IMASO00301DG/BK;color;Gris;4
IWJJA00939TQ/BK;color;Turquesa;3
IWJJA00939TQ/BK;color;Turquoise;0
IWJJA00939TQ/BK;color;Turquoise;4
IWJJA00939PP/BK;color;Morado;3
IWJJA00939PP/BK;color;Purple;0
IWJJA00939PP/BK;color;Violet;4
IWJJA00939FX/BK;color;Fucsia;3
IWJJA00939FX/BK;color;Fuxia;0
IWJJA00939FX/BK;color;Fuchsia;4
IWJJA00939BM/BK;color;Azul;3
IWJJA00939BM/BK;color;Blue;0
IWJJA00939BM/BK;color;Bleu;4
IUFFO01408SM/BK;color;Gris;3
IUFFO01408SM/BK;color;Grey;0
IUFFO01408SM/BK;color;Gris;4
IMRTS01399GR;color;Gris;3
IMRTS01399GR;color;Grey;0
IMRTS01399GR;color;Gris;4
IWWSF01077SM/BK;color;Gris;3
IWWSF01077SM/BK;color;Grey;0
IWWSF01077SM/BK;color;Gris;4
IWWSF01077FX/PP;color;Fucsia;3
IWWSF01077FX/PP;color;Fuxia;0
IWWSF01077FX/PP;color;Fuchsia;4
IWWSF01077CR/AQ;color;Verde;3
IWWSF01077CR/AQ;color;Green;0
IWWSF01077CR/AQ;color;Vert;4
IMRSH01171BK/YW;color;Negro;3
IMRSH01171BK/YW;color;Black;0
IMRSH01171BK/YW;color;Noir;4
IMRSH01171BK/RD;color;Rojo;3
IMRSH01171BK/RD;color;Red;0
IMRSH01171BK/RD;color;Rouge;4
IMRSH01171BK/BK;color;Negro;3
IMRSH01171BK/BK;color;Black;0
IMRSH01171BK/BK;color;Noir;4
IUAHD00485WH;color;Blanco;3
IUAHD00485WH;color;White;0
IUAHD00485WH;color;Blanc;4
IWRRN00810FX;color;Fucsia;3
IWRRN00810FX;color;Fuxia;0
IWRRN00810FX;color;Fuchsia;4
IUTTH00970BK;color;Negro;3
IUTTH00970BK;color;Black;0
IUTTH00970BK;color;Noir;4
IMEPS01069SP/GN;color;Verde;3
IMEPS01069SP/GN;color;Green;0
IMEPS01069SP/GN;color;Vert;4
IMEPS01069RD/OR;color;Rojo;3
IMEPS01069RD/OR;color;Red;0
IMEPS01069RD/OR;color;Rouge;4
IMEPS01069GN/SP;color;Verde;3
IMEPS01069GN/SP;color;Green;0
IMEPS01069GN/SP;color;Vert;4
IMEPS01069BV/BM;color;Azul;3
IMEPS01069BV/BM;color;Blue;0
IMEPS01069BV/BM;color;Bleu;4
IMEPS01069BK/DG;color;Negro;3
IMEPS01069BK/DG;color;Black;0
IMEPS01069BK/DG;color;Noir;4
IMHJA00331BK/RD;color;Negro;3
IMHJA00331BK/RD;color;Black;0
IMHJA00331BK/RD;color;Noir;4
IWHJA01001BK/BK;color;Negro;3
IWHJA01001BK/BK;color;Black;0
IWHJA01001BK/BK;color;Noir;4
IWAHD01137CR/DP;color;Verde;3
IWAHD01137CR/DP;color;Green;0
IWAHD01137CR/DP;color;Vert;4
IWAHD01137BK/FX;color;Negro;3
IWAHD01137BK/FX;color;Black;0
IWAHD01137BK/FX;color;Noir;4
IWAHD01137BK/DG;color;Negro;3
IWAHD01137BK/DG;color;Black;0
IWAHD01137BK/DG;color;Noir;4
IMDDW00311DG/YW;color;Gris;3
IMDDW00311DG/YW;color;Grey;0
IMDDW00311DG/YW;color;Gris;4
IMDDW00311DG/MR;color;Gris;3
IMDDW00311DG/MR;color;Grey;0
IMDDW00311DG/MR;color;Gris;4
IMDDW00311DB/GH;color;Azul;3
IMDDW00311DB/GH;color;Blue;0
IMDDW00311DB/GH;color;Bleu;4
IMDDW00311BM/BM;color;Azul;3
IMDDW00311BM/BM;color;Blue;0
IMDDW00311BM/BM;color;Bleu;4
IMDDW00311BK/BK;color;Negro;3
IMDDW00311BK/BK;color;Black;0
IMDDW00311BK/BK;color;Noir;4
IMWSF01067BM/DB;color;Azul;3
IMWSF01067BM/DB;color;Blue;0
IMWSF01067BM/DB;color;Bleu;4
IMWSF01067BK/DG;color;Negro;3
IMWSF01067BK/DG;color;Black;0
IMWSF01067BK/DG;color;Noir;4
IUASO01039BK/RY;color;Negro;3
IUASO01039BK/RY;color;Black;0
IUASO01039BK/RY;color;Noir;4
IUASO01039BK/LG;color;Negro;3
IUASO01039BK/LG;color;Black;0
IUASO01039BK/LG;color;Noir;4
IMWSF00438DG/BV;color;Gris;3
IMWSF00438DG/BV;color;Grey;0
IMWSF00438DG/BV;color;Gris;4
IWFFO00950SM/CR;color;Gris;3
IWFFO00950SM/CR;color;Grey;0
IWFFO00950SM/CR;color;Gris;4
IWFFO00950BK/FX;color;Negro;3
IWFFO00950BK/FX;color;Black;0
IWFFO00950BK/FX;color;Noir;4
IMFFO00821BR;color;Marrón;3
IMFFO00821BR;color;Brown;0
IMFFO00821BR;color;Brun;4
IWAHD01139BK;color;Negro;3
IWAHD01139BK;color;Black;0
IWAHD01139BK;color;Noir;4
IUAHD00489BK;color;Negro;3
IUAHD00489BK;color;Black;0
IUAHD00489BK;color;Noir;4
IWPSH00695DG/TQ;color;Gris;3
IWPSH00695DG/TQ;color;Grey;0
IWPSH00695DG/TQ;color;Gris;4
IWPSH00695BK/FX;color;Negro;3
IWPSH00695BK/FX;color;Black;0
IWPSH00695BK/FX;color;Noir;4
IMWSF01091SM/LG;color;Gris;3
IMWSF01091SM/LG;color;Grey;0
IMWSF01091SM/LG;color;Gris;4
IMWSF01091BK/DG;color;Negro;3
IMWSF01091BK/DG;color;Black;0
IMWSF01091BK/DG;color;Noir;4
IKWSF01129SM/LG;color;Gris;3
IKWSF01129SM/LG;color;Grey;0
IKWSF01129SM/LG;color;Gris;4
IKWSF01129BK/DG;color;Negro;3
IKWSF01129BK/DG;color;Black;0
IKWSF01129BK/DG;color;Noir;4
IMWSF00441BK/RD;color;Negro;3
IMWSF00441BK/RD;color;Black;0
IMWSF00441BK/RD;color;Noir;4
IMTTH00423BK;color;Negro;3
IMTTH00423BK;color;Black;0
IMTTH00423BK;color;Noir;4
IMWSF01065BV/BM;color;Azul;3
IMWSF01065BV/BM;color;Blue;0
IMWSF01065BV/BM;color;Bleu;4
IMWSF01065BK/DG;color;Negro;3
IMWSF01065BK/DG;color;Black;0
IMWSF01065BK/DG;color;Noir;4
IMYPD00458BM;color;Azul;3
IMYPD00458BM;color;Blue;0
IMYPD00458BM;color;Bleu;4
IMYPD00458BK;color;Negro;3
IMYPD00458BK;color;Black;0
IMYPD00458BK;color;Noir;4
IWRSH01172BK/YW;color;Negro;3
IWRSH01172BK/YW;color;Black;0
IWRSH01172BK/YW;color;Noir;4
IWRSH01172BK/FX;color;Negro;3
IWRSH01172BK/FX;color;Black;0
IWRSH01172BK/FX;color;Noir;4
IWRSH01172BK/BK;color;Negro;3
IWRSH01172BK/BK;color;Black;0
IWRSH01172BK/BK;color;Noir;4
IMFFO00627BK/OR;color;Negro;3
IMFFO00627BK/OR;color;Black;0
IMFFO00627BK/OR;color;Noir;4
IMFFO00627BK/LG;color;Negro;3
IMFFO00627BK/LG;color;Black;0
IMFFO00627BK/LG;color;Noir;4
IMFFO00627BK/FX;color;Negro;3
IMFFO00627BK/FX;color;Black;0
IMFFO00627BK/FX;color;Noir;4
IWDDW01359GP/LM;color;Morado;3
IWDDW01359GP/LM;color;Purple;0
IWDDW01359GP/LM;color;Violet;4
IMPPA00873BM/BM;color;Azul;3
IMPPA00873BM/BM;color;Blue;0
IMPPA00873BM/BM;color;Bleu;4
IWPPA00574PP;color;Morado;3
IWPPA00574PP;color;Purple;0
IWPPA00574PP;color;Violet;4
IWPPA00574FX;color;Fucsia;3
IWPPA00574FX;color;Fuxia;0
IWPPA00574FX;color;Fuchsia;4
IWPPA00574DG;color;Gris;3
IWPPA00574DG;color;Grey;0
IWPPA00574DG;color;Gris;4
IWPPA00574BK;color;Negro;3
IWPPA00574BK;color;Black;0
IWPPA00574BK;color;Noir;4
IUASO01040BK/DG;color;Negro;3
IUASO01040BK/DG;color;Black;0
IUASO01040BK/DG;color;Noir;4
IMYPD00919RD/BK;color;Rojo;3
IMYPD00919RD/BK;color;Red;0
IMYPD00919RD/BK;color;Rouge;4
IMYPD00919MR/OR;color;Rojo;3
IMYPD00919MR/OR;color;Red;0
IMYPD00919MR/OR;color;Rouge;4
IMYPD00919GH/DB;color;Amarillo;3
IMYPD00919GH/DB;color;Yellow;0
IMYPD00919GH/DB;color;Jaune;4
IMYPD00919DQ/LI;color;Azul;3
IMYPD00919DQ/LI;color;Blue;0
IMYPD00919DQ/LI;color;Bleu;4
IMYPD00919DB/GH;color;Azul;3
IMYPD00919DB/GH;color;Blue;0
IMYPD00919DB/GH;color;Bleu;4
IMYPD00919BV/BM;color;Azul;3
IMYPD00919BV/BM;color;Blue;0
IMYPD00919BV/BM;color;Bleu;4
IMYPD00919BK/BK;color;Negro;3
IMYPD00919BK/BK;color;Black;0
IMYPD00919BK/BK;color;Noir;4
IMPSH00999BK;color;Negro;3
IMPSH00999BK;color;Black;0
IMPSH00999BK;color;Noir;4
IWDDW00538DG/LI;color;Gris;3
IWDDW00538DG/LI;color;Grey;0
IWDDW00538DG/LI;color;Gris;4
IUAAC00464BK;color;Negro;3
IUAAC00464BK;color;Black;0
IUAAC00464BK;color;Noir;4
IUAAC01467BK;color;Negro;3
IUAAC01467BK;color;Black;0
IUAAC01467BK;color;Noir;4
IUAAC01466BK;color;Negro;3
IUAAC01466BK;color;Black;0
IUAAC01466BK;color;Noir;4
IMRSH01050BK/RD;color;Negro;3
IMRSH01050BK/RD;color;Black;0
IMRSH01050BK/RD;color;Noir;4
IMRSH01050BK/LG;color;Negro;3
IMRSH01050BK/LG;color;Black;0
IMRSH01050BK/LG;color;Noir;4
IMRSH01050BK/BK;color;Negro;3
IMRSH01050BK/BK;color;Black;0
IMRSH01050BK/BK;color;Noir;4
IUASO00500BK/RY;color;Negro;3
IUASO00500BK/RY;color;Black;0
IUASO00500BK/RY;color;Noir;4
IWUTS01370WB;color;Verde;3
IWUTS01370WB;color;Green;0
IWUTS01370WB;color;Vert;4
IWUTS01370CH;color;Azul;3
IWUTS01370CH;color;Blue;0
IWUTS01370CH;color;Bleu;4
IWKJA01131BK/BK;color;Negro;3
IWKJA01131BK/BK;color;Black;0
IWKJA01131BK/BK;color;Noir;4
IUNJA01009RY;color;Azul;3
IUNJA01009RY;color;Blue;0
IUNJA01009RY;color;Bleu;4
IUNJA01009BK;color;Negro;3
IUNJA01009BK;color;Black;0
IUNJA01009BK;color;Noir;4
IUAGL01362BK;color;Negro;3
IUAGL01362BK;color;Black;0
IUAGL01362BK;color;Noir;4
IMWSF00445RD/BK;color;Rojo;3
IMWSF00445RD/BK;color;Red;0
IMWSF00445RD/BK;color;Rouge;4
IWFFO01051WB;color;Verde;3
IWFFO01051WB;color;Green;0
IWFFO01051WB;color;Vert;4
IWFFO01051TQ;color;Turquesa;3
IWFFO01051TQ;color;Turquoise;0
IWFFO01051TQ;color;Turquoise;4
IWFFO01051BK;color;Negro;3
IWFFO01051BK;color;Black;0
IWFFO01051BK;color;Noir;4
IUAGL01165BK;color;Negro;3
IUAGL01165BK;color;Black;0
IUAGL01165BK;color;Noir;4
IUAAC00748BK;color;Negro;3
IUAAC00748BK;color;Black;0
IUAAC00748BK;color;Noir;4
IUFFO00976BR/FX;color;Marrón;3
IUFFO00976BR/FX;color;Brown;0
IUFFO00976BR/FX;color;Brun;4
IUFFO00976BR/DB;color;Marrón;3
IUFFO00976BR/DB;color;Brown;0
IUFFO00976BR/DB;color;Brun;4
IUFFO00976BK/DG;color;Negro;3
IUFFO00976BK/DG;color;Black;0
IUFFO00976BK/DG;color;Noir;4
IMFSD01409BR/OR;color;Marrón;3
IMFSD01409BR/OR;color;Brown;0
IMFSD01409BR/OR;color;Brun;4
IMFSD01409BM/BV;color;Azul;3
IMFSD01409BM/BV;color;Blue;0
IMFSD01409BM/BV;color;Bleu;4
IMYPD01155RD/BK;color;Rojo;3
IMYPD01155RD/BK;color;Red;0
IMYPD01155RD/BK;color;Rouge;4
IMYPD01155MR/OR;color;Rojo;3
IMYPD01155MR/OR;color;Red;0
IMYPD01155MR/OR;color;Rouge;4
IMYPD01155DB/GH;color;Azul;3
IMYPD01155DB/GH;color;Blue;0
IMYPD01155DB/GH;color;Bleu;4
IUAGL00478BK;color;Negro;3
IUAGL00478BK;color;Black;0
IUAGL00478BK;color;Noir;4
IMRRN00886TQ;color;Turquesa;3
IMRRN00886TQ;color;Turquoise;0
IMRRN00886TQ;color;Turquoise;4
IMRRN00886PF;color;Rosa;3
IMRRN00886PF;color;Pink;0
IMRRN00886PF;color;Rose;4
IMRRN00886BK;color;Negro;3
IMRRN00886BK;color;Black;0
IMRRN00886BK;color;Noir;4
IMFFO01141GH;color;Amarillo;3
IMFFO01141GH;color;Yellow;0
IMFFO01141GH;color;Jaune;4
IMFFO01141FX;color;Fucsia;3
IMFFO01141FX;color;Fuxia;0
IMFFO01141FX;color;Fuchsia;4
IWYPD01094TQ/TQ;color;Azul;3
IWYPD01094TQ/TQ;color;Blue;0
IWYPD01094TQ/TQ;color;Bleu;4
IWYPD01094FX/FX;color;Azul;3
IWYPD01094FX/FX;color;Blue;0
IWYPD01094FX/FX;color;Bleu;4
IWYPD01094CR/CR;color;Azul;3
IWYPD01094CR/CR;color;Blue;0
IWYPD01094CR/CR;color;Bleu;4
IWYPD01094BM/CF;color;Azul;3
IWYPD01094BM/CF;color;Blue;0
IWYPD01094BM/CF;color;Bleu;4
IWYPD01094BK/DG;color;Negro;3
IWYPD01094BK/DG;color;Black;0
IWYPD01094BK/DG;color;Noir;4
IKFFO01583BM;color;Azul;3
IKFFO01583BM;color;Blue;0
IKFFO01583BM;color;Bleu;4
IKFFO01583GH;color;Amarillo;3
IKFFO01583GH;color;Yellow;0
IKFFO01583GH;color;Jaune;4
IMBML01591BK/RD;color;Negro;3
IMBML01591BK/RD;color;Black;0
IMBML01591BK/RD;color;Noir;4
IMFBT01572BR/OR;color;Marrón;3
IMFBT01572BR/OR;color;Brown;0
IMFBT01572BR/OR;color;Brun;4
IMJJA01543ST/BZ;color;Marrón;3
IMJJA01543ST/BZ;color;Brown;0
IMJJA01543ST/BZ;color;Brun;4
IMJJA01544BM/BM;color;Azul;3
IMJJA01544BM/BM;color;Blue;0
IMJJA01544BM/BM;color;Bleu;4
IMJJA01544ST/ST;color;Camel;3
IMJJA01544ST/ST;color;Camel;0
IMJJA01544ST/ST;color;Camel;4
IMLPF01587BK;color;Negro;3
IMLPF01587BK;color;Black;0
IMLPF01587BK;color;Noir;4
IMLPF01587OR;color;Naranja;3
IMLPF01587OR;color;Orange;0
IMLPF01587OR;color;Orange;4
IMPPW01592BK;color;Negro;3
IMPPW01592BK;color;Black;0
IMPPW01592BK;color;Noir;4
IUFFO01573DG/FX;color;Gris;3
IUFFO01573DG/FX;color;Grey;0
IUFFO01573DG/FX;color;Gris;4
IWLPF01588BB;color;Rojo;3
IWLPF01588BB;color;Red;0
IWLPF01588BB;color;Rouge;4
IWLPF01588BK;color;Negro;3
IWLPF01588BK;color;Black;0
IWLPF01588BK;color;Noir;4
IWLPF01588BM;color;Azul;3
IWLPF01588BM;color;Blue;0
IWLPF01588BM;color;Bleu;4
IWLPF01588SV;color;Gris;3
IWLPF01588SV;color;Grey;0
IWLPF01588SV;color;Gris;4
IWLPF01589BB;color;Rojo;3
IWLPF01589BB;color;Red;0
IWLPF01589BB;color;Rouge;4
IWLPF01589BK;color;Negro;3
IWLPF01589BK;color;Black;0
IWLPF01589BK;color;Noir;4
IWLPF01589BM;color;Azul;3
IWLPF01589BM;color;Blue;0
IWLPF01589BM;color;Bleu;4
IWLPF01589SV;color;Gris;3
IWLPF01589SV;color;Grey;0
IWLPF01589SV;color;Gris;4
IWPPW01594BK;color;Negro;3
IWPPW01594BK;color;Black;0
IWPPW01594BK;color;Noir;4
IMFFO00973BK/FX;color;Negro;3
IMFFO00973BK/FX;color;Black;0
IMFFO00973BK/FX;color;Noir;4
IUABL01540BL;color;Azul;3
IUABL01540BL;color;Blue;0
IUABL01540BL;color;Bleu;4
IUABL01540GR;color;Gris;3
IUABL01540GR;color;Grey;0
IUABL01540GR;color;Gris;4
IUABL01540LG;color;Verde;3
IUABL01540LG;color;Green;0
IUABL01540LG;color;Vert;4
IMFFO00627BK/BV;color;Negro;3
IMFFO00627BK/BV;color;Black;0
IMFFO00627BK/BV;color;Noir;4
IMFFO00627BK/RD;color;Negro;3
IMFFO00627BK/RD;color;Black;0
IMFFO00627BK/RD;color;Noir;4
IUAAC01468BK;color;Negro;3
IUAAC01468BK;color;Black;0
IUAAC01468BK;color;Noir;4
IUAAC00750BK;color;Negro;3
IUAAC00750BK;color;Black;0
IUAAC00750BK;color;Noir;4
IWFFO01051BM;color;Azul;3
IWFFO01051BM;color;Blue;0
IWFFO01051BM;color;Bleu;4
IWFFO01051WH;color;Blanco;3
IWFFO01051WH;color;White;0
IWFFO01051WH;color;Blanc;4
IWFFO01051WI;color;Rojo;3
IWFFO01051WI;color;Red;0
IWFFO01051WI;color;Rouge;4
IKSTS01392BM;color;Azul;3
IKSTS01392BM;color;Blue;0
IKSTS01392BM;color;Bleu;4
IKSTS01392WH;color;Blanco;3
IKSTS01392WH;color;White;0
IKSTS01392WH;color;Blanc;4
IMEPS00780DG/SV;color;Gris;3
IMEPS00780DG/SV;color;Grey;0
