this policy allow return order in status, Esta política permite devolver el pedido solicitado
day, día
and only the shipped items will be available to return, y solo los artículos enviados estarán disponibles para devolver
What’s on your mind?,Observaciones
MANAGE ADDRESSES,GESTIONAR DIRECCIÓN
DESCRIPTION,Descripción
Coupon not valid,NOT CORRECT
"Free shipping over %s purchase and 60-day return period","Envíos gratis por pedidos superiores a %s y 60 días de devolución"
"The coupon code isn't valid. Verify the code and try again.","El código de cupón no es válido. Comprobar el código y vuelva a intentarlo."
"Your card number is invalid.","Tu número de tarjeta no es válido"
"I already have an account","Ya tengo cuenta"
"Continue as guest","Seguir como invitado"
"We accept","Aceptamos"
"Do you need help?",¿Necesitas ayuda?
"Street 2","Dirección adicional"
"I wish to receive periodic information with news, trends and offers from the person in charge by email.","Deseo recibir información periódica con noticias, tendencias y ofertas del responsable por correo electrónico."
"I have read the","He leído la"
"Privacy Policy","Política de Privacidad"
"and I accept the","y acepto los"
"Terms and Conditions","Términos y Condiciones"
"from service","del servicio"
"My billing and shipping address are the same","Mis direcciones de facturación y envío son las mismas",module,Magento_Checkout
"Advantage","Ventajas"
"Details","Detalles"
"We found other products you might like!","Puede que también te interese"
"Use for","Se usa para"
"Size Guide","Guía de tallas"
"Colors","Colores"
"Used for","Se usa para"
"Cart","Carrito"
"Characteristics","Características"
"Store Finder","Buscador de tiendas"
"Subscribe to Newsletter","Suscríbete a nuestra newsletter"
"Accepted payment methods","Métodos de pago aceptados"
"Shopping bag","Cesta de la compra"
"Client Information","Información de cliente"
"Don’t miss our latest news ! Get to know first our private sales and special offers. Introduce your email to get a","¡No te pierdas nuestras últimas noticias! Sé el primero en conocer nuestras ofertas privadas y especiales. Al suscribirte recibirás un"
"%d%% DISCOUNT CODE","CÓDIGO con un %d%% de DESCUENTO."
Lucky you ! ,¡Tienes suerte!
"Hello,","Hola,"
Welcome to Izas Outdoor!,¡Bienvenido a Izas Outdoor!
"We keep our promises. Enjoy 10% off on your first order over 50€ with the code","Cumplimos nuestras promesas. Disfruta de hasta 10% de descuento en tu primer pedido superior a 50€ con el código"
"*Oh, just in case: if you want your 10% off, make sure to use the code when you place your order. The code is not applicable on products that are already discounted or on sales. It's not Minimum amout is 50€.  We can’t refund the discount amount once the order is done.","* Ah, por si acaso: si deseas utilizar tu 10% de descuento, asegúrate de usar el código cuando hagas tu pedido. El cógido no es válido en productos ya rebajados o con descuentos. Pedido mínimo de 50 €. No podemos devolver el importe del descuento una vez que el pedido se finalice."
This code is strictly personal and valid up to one week after reception. It cannot be used with other current offers or for the purchase of a gift card.,Este código es estrictamente personal y válido durante una semana desde la recepción. No se puede utilizar junto a otras ofertas actuales o para la compra de una tarjeta de regalo.
"If you are on a mobile device, click on 'checkout'. Then, click on 'view my cart' and fill in the 'discount codes' box.","Si estás en un teléfono móvil, haz clic en el símbolo de la cesta y en 'Realizar pedido'. A continuación, rellena el cuadro de 'Aplicar código de descuento'."
"I am already registered","Ya estoy registrado"
"You added the item to the shopping bag.","Ha agregado el producto al carrito de compras."
"Search results in other pages:","Resultados de búsqueda en otras páginas:"
"We can't find contents matching the selection.","No podemos encontrar contenidos que coincidan con la selección."
"Season","Temporada"
"Size Guide", "Guia de tallas"
"Place Order","Realizar pedido"
I acknowledge I have read and understood the IZAS <a href="https://www.izas-outdoor.com/en/politica-de-cookies">Privacy Policy</a> and I consent to the processing of my personal data for marketing and profiling purposes.,Al suscribirme confirmo que he leído la <a href="https://www.izas-outdoor.com/privacy-policy-cookie-restriction-mode-new">POLÍTICA DE PRIVACIDAD</a> de IZAS y doy mi consentimiento para el tratamiento de mis datos personales con fines de marketing y determinación de perfiles.
