Número;Origen;Nombre del socio a mostrar en la factura;Nota albaran;Referencia;Agente/Nombre;Comercial;Fecha de Factura/Recibo;Líneas de factura/Producto;Líneas de factura/Producto/Nombre;Líneas de factura/Producto/Color;Líneas de factura/Producto/Valores de atributo;Líneas de factura/Producto/Atributos del producto;Líneas de factura/Producto/sku;Líneas de factura/Producto/Código de barras;Líneas de factura/Producto/Código HS;Líneas de factura/Producto/Categoría de producto;Líneas de factura/Producto/Extra Categories;Líneas de factura/Producto/Género;Líneas de factura/Cantidad;Líneas de factura/Precio unitario;Líneas de factura/Subtotal;Contacto;Contacto/Código de cliente;Contacto/ID;Contacto/NIF;Contacto/Nombre del padre;Equipo de ventas
;;CLIENTE WEB NACIONAL;3000001268;;CLIENTE WE;;2020-04-07;;TEXA;BLACK;ONE;;IUAHD01402BKONE;8434076496795;;A;HD;U;1;;13,21;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001267;;CLIENTE WE;;2020-04-07;;DOROTA;MINERAL RED/DARK GREY;L;;IWPPA00570MR/DGL;8434076380162;;P;PA;W;1;;33,05;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001266;;CLIENTE WE;;2020-04-07;;GORNER;BLACK/RED;XL;;IMEPS00780BK/RDXL;8434076273761;;E;PS;M;1;;16,52;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001265;;CLIENTE WE;;2020-04-07;;SINDU;BLUE RIVER/BLUEMOON;M;;IMYPD00916BV/BMM;8434076305493;;Y;PD;M;1;;41,31;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001264;;CLIENTE WE;;2020-04-07;;AKRON;ORANGE;M;;IMUTS01181ORM;8434076377315;;S;TT;M;1;;9,91;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001264;;CLIENTE WE;;2020-04-07;;AKRON;ROYAL;M;;IMUTS01181RYM;8434076485393;;S;TT;M;1;;9,91;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001263;;CLIENTE WE;;2020-04-07;;AKRON;BLACK;L;;IMUTS01181BKL;8434076377155;;S;TT;M;1;;9,91;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001263;;CLIENTE WE;;2020-04-07;;ALABAMA;BLUEMOON;L;;IMUTS01180BML;8434076376851;;U;TS;M;1;;13,21;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001262;;CLIENTE WE;;2020-04-07;;AVERY;LIME;L;;IMUTS01367LML;8434076486642;;U;TS;M;1;;14,87;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;CLIENTE WEB NACIONAL;3000001262;;CLIENTE WE;;2020-04-07;;AVERY;RED;L;;IMUTS01367RDL;8434076486802;;U;TS;M;1;;14,87;CLIENTE WEB NACIONAL;43002276;;;;Online Nacional
;;TRADEINN RETAIL SERVICES SL;497219;;OUTLETINN;;2020-04-07;;WHEELER;RED/BLACK;M;;IWLPF00565RD/BKM;8434076280769;;L;PF;W;1;;7,79;TRADEINN RETAIL SERVICES SL;43002197;;;;Webs Nacionales
;;TRADEINN RETAIL SERVICES SL;497219;;OUTLETINN;;2020-04-07;;ZOE KIDS;BLUEMOON;8;;IKSTS01392BM8;8434076493688;;S;TS;K;2;;12,22;TRADEINN RETAIL SERVICES SL;43002197;;;;Webs Nacionales
;;TRADEINN RETAIL SERVICES SL;496852;;OUTLETINN;;2020-04-07;;CHAMONIX;BLACK;5XL;;IMPPA00358BK5XL;8434076351537;;P;PA;M;2;;53,28;TRADEINN RETAIL SERVICES SL;43002197;;;;Webs Nacionales
;;TRADEINN RETAIL SERVICES SL;496852;;OUTLETINN;;2020-04-07;;WHEELER;VIOLET/BLACK;M;;IWLPF00565VI/BKM;8434076357287;;L;PF;W;1;;7,79;TRADEINN RETAIL SERVICES SL;43002197;;;;Webs Nacionales
;;TRADEINN RETAIL SERVICES SL;496852;;OUTLETINN;;2020-04-07;;FROSTY II;RED;43;;IUFSD01410RD43;8434076498317;;F;SD;U;1;;21,27;TRADEINN RETAIL SERVICES SL;43002197;;;;Webs Nacionales
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALDER;BLUEMOON;M;;IMJJA00782BMM;8434076350165;;J;LW;M;2;;39,90;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALDER;DARK GREY;XL;;IMJJA00782DGXL;8434076274065;;J;LW;M;1;;19,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALDER;ROYAL;M;;IMJJA00782RYM;8434076274249;;J;LW;M;2;;39,90;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALDER;ROYAL;XXL;;IMJJA00782RYXXL;8434076274270;;J;LW;M;1;;19,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALDER;ROYAL;L;;IMJJA00782RYL;8434076274232;;J;LW;M;4;;79,80;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALDER;WHITE;M;;IMJJA00782WHM;8434076389295;;J;LW;M;1;;19,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALDER;WHITE;L;;IMJJA00782WHL;8434076389288;;J;LW;M;4;;79,80;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALETCH;BLACK/DARK GREY/LIME;XS;;IMPPA00354BK/DGXS;8434076063720;;P;PA;M;1;;27,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALETCH;BLACK/DARK GREY/LIME;S;;IMPPA00354BK/DGS;8434076008530;;P;PA;M;1;;27,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALETCH;BLACK/DARK GREY/LIME;L;;IMPPA00354BK/DGL;8434076008554;;P;PA;M;1;;27,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALETCH;BLUE RIVER/DARK GREY/L.GREEN;XL;;IMPPA00354BV/DGXL;8434076308111;;P;PA;M;2;;55,90;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALETCH;BLUE RIVER/DARK GREY/L.GREEN;S;;IMPPA00354BV/DGS;8434076308104;;P;PA;M;2;;55,90;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALETCH;BLUE RIVER/DARK GREY/L.GREEN;M;;IMPPA00354BV/DGM;8434076308098;;P;PA;M;3;;83,85;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ALETCH;D.GREY/BLACK/ROYAL;XL;;IMPPA00354DG/BKXL;8434076008615;;P;PA;M;1;;27,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;AMPRIU;BLUEMOON/ORANGE;XL;;IMDDW00306BM/ORXL;8434076339313;;Y;ML;M;1;;35,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;AMPRIU;BLUEMOON/ORANGE;M;;IMDDW00306BM/ORM;8434076339290;;Y;ML;M;2;;71,90;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;AMPRIU;BLUEMOON/ORANGE;L;;IMDDW00306BM/ORL;8434076339283;;Y;ML;M;1;;35,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;AMPRIU;BLUEMOON/ORANGE;XXL;;IMDDW00306BM/ORXXL;8434076339337;;Y;ML;M;1;;35,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ANAYET;BLACK/FUXIA;XS;;IWYPD00788BK/FXXS;8434076276823;;J;HC;W;2;;37,50;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ARBEL;BLACK/FUXIA/GREY;L;;IWRRN00586BK/FXL;8434076067834;;R;RN;W;1;;8,96;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ARBEL;FUXIA/BLACK/GREY;M;;IWRRN00586FX/BKM;8434076067926;;R;RN;W;1;;8,96;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;ARBEL;FUXIA/BLACK/GREY;XL;;IWRRN00586FX/BKXL;8434076067940;;R;RN;W;1;;8,96;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;AROSA;GOLD HONEY/DARK GREY;XL;;IMSTS00407GH/DGXL;8434076338309;;U;TL;M;1;;10,76;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;AROSA;GOLD HONEY/DARK GREY;M;;IMSTS00407GH/DGM;8434076338286;;U;TL;M;1;;10,76;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;AROSA;GOLD HONEY/DARK GREY;XXL;;IMSTS00407GH/DGXXL;8434076338316;;U;TL;M;1;;10,76;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;AROSA;BLUEMOON/DARK AQUA;XL;;IMSTS00407BM/DQXL;8434076338200;;U;TL;M;2;;21,52;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BALTIC;BLACK/BLACK;3XL;;IMPPA00784BK/BK3XL;8434076371856;;P;PA;M;1;;29,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BALTIC;BLACK/BLACK;S;;IMPPA00784BK/BKS;8434076371917;;P;PA;M;1;;29,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BALTIC;BLACK/BLACK;M;;IMPPA00784BK/BKM;8434076371900;;P;PA;M;1;;29,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BALTIC;BLACK/BLACK;L;;IMPPA00784BK/BKL;8434076371894;;P;PA;M;2;;59,90;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BALTIC;BLACK/DARK GREY;XL;;IMPPA00784BK/DGXL;8434076275086;;P;PA;M;1;;29,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BALTIC;BLACK/DARK GREY;L;;IMPPA00784BK/DGL;8434076275055;;P;PA;M;1;;29,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BALTIC;BLACK/DARK GREY;M;;IMPPA00784BK/DGM;8434076275062;;P;PA;M;2;;59,90;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BALTIC;BLUE RIVER/DARK GREY;XL;;IMPPA00784BVXL;8434076275130;;P;PA;M;1;;29,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BALTIC;BLUE RIVER/DARK GREY;L;;IMPPA00784BVL;8434076275109;;P;PA;M;1;;29,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BASILE;BLACK/DARK GREY/BLACK;L;;IMWSF00923BK/DGL;8434076307619;;W;S2;M;1;;18,75;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BASILE;BLUEMOON/BLUE RIVER/L.GREEN ;M;;IMWSF00923BM/BVM;8434076307671;;W;S2;M;5;;93,75;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BASILE;BLUEMOON/BLUE RIVER/L.GREEN ;XL;;IMWSF00923BM/BVXL;8434076307695;;W;S2;M;2;;37,50;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BASILE;BLUEMOON/BLUE RIVER/L.GREEN ;L;;IMWSF00923BM/BVL;8434076307664;;W;S2;M;6;;112,50;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BASILE;BLUEMOON/BLUE RIVER/L.GREEN ;XXL;;IMWSF00923BM/BVXXL;8434076307701;;W;S2;M;1;;18,75;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BERRY;BLUEMOON;XL;;IMWSF00773BMXL;8434076307497;;W;S2;M;2;;37,50;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BERRY;BLUEMOON;S;;IMWSF00773BMS;8434076307480;;W;S2;M;1;;18,75;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BERRY;BLUEMOON;L;;IMWSF00773BML;8434076307466;;W;S2;M;1;;18,75;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BERRY;BLUEMOON;M;;IMWSF00773BMM;8434076307473;;W;S2;M;3;;56,25;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BERRY;DARK GREY;S;;IMWSF00773DGS;8434076272481;;W;S2;M;1;;18,75;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BERRY;DARK GREY;XL;;IMWSF00773DGXL;8434076272498;;W;S2;M;4;;75,00;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BERRY;DARK GREY;M;;IMWSF00773DGM;8434076272474;;W;S2;M;8;;150,00;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BERRY;DARK GREY;L;;IMWSF00773DGL;8434076272467;;W;S2;M;7;;131,25;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BRITTON;BLACK/ROYAL;ONE;;IUABP00709BK/RYONE;8434076249742;;A;BP;U;4;;45,00;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;BRITTON;LIGHT GREEN/BLACK;ONE;;IUABP00709GN/BKONE;8434076266008;;A;BP;U;2;;22,50;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;CADIER;RED;44;;IMFFO00624RED44;8434076266398;;F;FO;M;1;;24,99;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;CADIER;RED;43;;IMFFO00624RED43;8434076266381;;F;FO;M;2;;49,98;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;CALGARY;JEAN;ONE;;IUABP01177JNONE;8434076375823;;A;BP;U;1;;16,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;CASTOR;LIGHT GREEN/ROYAL;XXL;;IMWSF00431LG/RYXXL;8434076043197;;W;SF;M;2;;37,50;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
;;PRIVATE SPORT SHOP;PO 25575;;PRIVATE SP;;2020-04-08;;CHAMONIX;BLACK;L;;IMPPA00358BKL;8434076011653;;P;PA;M;1;;24,95;PRIVATE SPORT SHOP;43002057;;;;Flash Intracomunitario
